id,name,aliases,equipment,category,laterality,loading,setup,primary_muscle,credited_muscles,fractional_allocations,rationale,confidence,allocation_confidence,source_ids,limitations
p5-dumbbell-flat-fly,Dumbbell Flat Fly,Dumbbell flyes | DB Flat Fly,Dumbbell,Shoulder horizontal adduction,bilateral,external,"Flat bench, fixed slight elbow bend; bring upper arms together.",Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-dumbbell-incline-fly,Dumbbell Incline Fly,DB Incline Fly,Dumbbell,Shoulder horizontal adduction,bilateral,external,"Low incline bench, fixed elbow bend; avoid turning into a press.",Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-standing-mid-height-cable-fly,Standing Mid-Height Cable Fly,Cable crossover,Cable,Shoulder horizontal adduction,bilateral,external,Pulleys near shoulder height; arc hands inward without elbow extension.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-high-to-low-cable-fly,High-to-Low Cable Fly,Decline cable fly,Cable,Shoulder horizontal adduction,bilateral,external,Pulleys above shoulders; adduct upper arms downward across torso.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-low-to-high-cable-fly,Low-to-High Cable Fly,Incline cable fly,Cable,Shoulder horizontal adduction,bilateral,external,Low pulleys; adduct arms upward to upper-chest height.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-supine-cable-fly,Supine Cable Fly,,Cable,Shoulder horizontal adduction,bilateral,external,Flat bench between low pulleys; maintain small fixed elbow bend.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-single-arm-cable-fly,Single-Arm Cable Fly,,Cable,Shoulder horizontal adduction,unilateral,external,One pulley near shoulder height; resist trunk rotation.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Sets are per side: one prescribed set means one set on each side; do not double bilateral group volume."
p5-band-chest-fly,Band Chest Fly,,Resistance band,Shoulder horizontal adduction,bilateral,external,Anchor behind shoulder level; bring upper arms together with fixed elbow bend.,Chest (pec major),Chest (pec major),Chest (pec major)=1,Horizontal adduction against resistance directly loads the pectorals; nearly fixed elbows do not justify triceps credit.,medium,Chest (pec major)=medium,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence."
p5-push-up,Push-Up,Press-up | Standard pushup,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,"Hands near shoulder width, trunk rigid; lower chest between hands.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-feet-elevated-push-up,Feet-Elevated Push-Up,Decline pushup,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,Feet on stable support; hands on floor; retain full controlled chest ROM.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-kneeling-push-up,Kneeling Push-Up,,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,Knees on floor; straight line from knees to shoulders.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-deficit-push-up,Deficit Push-Up,,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,Hands on stable handles or blocks; lower chest below hand level.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-close-grip-push-up,Close-Grip Push-Up,Diamond pushup,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,"Hands closer than shoulder width, elbows tucked; chest still moves through meaningful ROM.",Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-ring-push-up,Ring Push-Up,Suspension push-up,Bodyweight,Horizontal press,bilateral,bodyweight/weighted/assisted,Suspension rings hang low; control independent hand paths.,Chest (pec major),Chest (pec major) | Anterior Delts | Triceps,Chest (pec major)=1 | Anterior Delts=0.5 | Triceps=0.25,Loaded shoulder horizontal adduction/flexion gives chest full credit; anterior deltoid assists and elbow extension earns conservative triceps credit calibrated to the source press.,medium,Chest (pec major)=medium | Anterior Delts=medium | Triceps=medium,anatomy-upper | press,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-parallel-bar-dip,Parallel-Bar Dip,Chest dip | Weighted dip | Assisted dip,Bodyweight,Dip,bilateral,bodyweight/weighted/assisted,"Torso leans forward, controlled depth; shoulder extension stays comfortable.",Chest (pec major),Chest (pec major) | Triceps | Anterior Delts,Chest (pec major)=1 | Triceps=0.5 | Anterior Delts=0.25,Forward-leaning dip combines loaded shoulder movement with elbow extension; chest is the designated target and triceps a substantial synergist.,low,Chest (pec major)=low | Triceps=low | Anterior Delts=low,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
p5-ring-dip,Ring Dip,,Bodyweight,Dip,bilateral,bodyweight/weighted/assisted,"Independently moving rings, slight torso lean, controlled shoulder extension.",Chest (pec major),Chest (pec major) | Triceps | Anterior Delts,Chest (pec major)=1 | Triceps=0.5 | Anterior Delts=0.25,Forward-leaning dip combines loaded shoulder movement with elbow extension; chest is the designated target and triceps a substantial synergist.,low,Chest (pec major)=low | Triceps=low | Anterior Delts=low,anatomy-upper,"Direct evidence for this exact setup is limited. Fractions are conservative bookkeeping estimates, not measured hypertrophy equivalence. Added weight or counterweight assistance uses the same ID when joint path/ROM is unchanged; record load type in the plan."
